"a","b","tBCB","r_MDA","minref","freq1","lam1","maxtrans","freq2","lam2"
0.218,0.39,0.127,0.705,0.29973,47.28,6.3452,0.79254,47.26,6.3479
0.611,0.83,0.786,0.62833,0.37716,47.8,6.2762,0.77864,47.76,6.2814
0.617,0.741,0.48,0.67611,0.2666,47.7,6.2893,0.81604,47.64,6.2972
0.343,0.501,0.262,0.76333,0.071804,47.44,6.3238,0.84671,47.4,6.3291
0.866,0.467,0.385,0.71556,0.27266,47.66,6.2946,0.81534,47.62,6.2999
0.813,0.729,0.809,0.74778,0.60086,47.8,6.2762,0.6641,47.76,6.2814
0.146,0.456,0.324,0.775,0.1398,47.38,6.3318,0.84276,47.32,6.3398
0.48,0.341,0.762,0.77722,0.55401,47.84,6.2709,0.68991,47.8,6.2762
0.81,0.397,0.185,0.63389,0.56521,47.7,6.2893,0.70091,47.66,6.2946
0.209,0.642,0.712,0.73222,0.35988,47.88,6.2657,0.77689,47.84,6.2709
0.35,0.269,0.676,0.735,0.29215,47.88,6.2657,0.79591,47.84,6.2709
0.877,0.579,0.419,0.69444,0.30401,47.68,6.2919,0.80714,47.62,6.2999
0.326,0.409,0.506,0.70611,0.066145,47.76,6.2814,0.84323,47.68,6.2919
0.422,0.556,0.417,0.64778,0.2749,47.64,6.2972,0.81812,47.6,6.3025
0.642,0.525,0.241,0.75833,0.29408,47.64,6.2972,0.81024,47.6,6.3025
0.846,0.013,0.698,0.71611,0.37091,47.86,6.2683,0.77442,47.8,6.2762
0.514,0.13,0.862,0.62167,0.3972,47.82,6.2735,0.77105,47.78,6.2788
0.215,0.366,0.486,0.68778,0.055074,47.66,6.2946,0.84656,47.6,6.3025
0.519,0.029,0.167,0.74111,0.29896,47.44,6.3238,0.81108,47.4,6.3291
0.139,0.234,0.292,0.70444,0.082598,47.26,6.3479,0.85036,47.22,6.3532
0.509,0.28,0.472,0.69944,0.11986,47.68,6.2919,0.84172,47.62,6.2999
0.357,0.826,0.895,0.75389,0.93504,40.02,7.4963,0.6357,47.76,6.2814
0.321,0.869,0.801,0.68611,0.42694,47.84,6.2709,0.75631,47.8,6.2762
0.451,0.882,0.634,0.65556,0.25769,47.78,6.2788,0.81415,47.72,6.2867
0.485,0.53,0.337,0.75444,0.094832,47.62,6.2999,0.84459,47.56,6.3078
0.106,0.849,0.611,0.68889,0.17462,47.8,6.2762,0.82735,47.76,6.2814
0.548,0.121,0.254,0.62056,0.43216,47.58,6.3052,0.76872,47.54,6.3105
0.254,0.422,0.443,0.61556,0.2484,47.6,6.3025,0.8248,47.56,6.3078
0.06,0.521,0.704,0.64278,0.23241,47.8,6.2762,0.81863,47.76,6.2814
0.86,0.078,0.499,0.73889,0.15206,47.8,6.2762,0.82982,47.72,6.2867
0.355,0.509,0.145,0.74444,0.28453,47.44,6.3238,0.79964,47.42,6.3264
0.307,0.541,0.554,0.755,0.12517,47.88,6.2657,0.82596,47.82,6.2735
0.011,0.734,0.754,0.66444,0.31683,47.84,6.2709,0.79522,47.8,6.2762
0.709,0.289,0.146,0.70944,0.47816,47.62,6.2999,0.74388,47.6,6.3025
0.635,0.009,0.353,0.65278,0.32667,47.6,6.3025,0.80681,47.56,6.3078
0.399,0.593,0.302,0.61833,0.42253,47.62,6.2999,0.76957,47.6,6.3025
0.896,0.536,0.246,0.71389,0.4522,47.66,6.2946,0.75685,47.62,6.2999
0.491,0.382,0.3,0.74278,0.14177,47.54,6.3105,0.8426,47.5,6.3158
0.84,0.368,0.517,0.77333,0.22146,47.86,6.2683,0.80965,47.8,6.2762
0.465,0.056,0.281,0.66111,0.3106,47.52,6.3131,0.81124,47.48,6.3184
0.821,0.069,0.631,0.61278,0.27641,47.74,6.284,0.81375,47.68,6.2919
0.826,0.527,0.812,0.74056,0.5806,47.8,6.2762,0.67685,47.76,6.2814
0.577,0.801,0.422,0.70556,0.24272,47.68,6.2919,0.8213,47.62,6.2999
0.276,0.572,0.411,0.68167,0.16192,47.62,6.2999,0.83929,47.56,6.3078
0.166,0.225,0.858,0.72111,0.508,47.86,6.2683,0.71903,47.82,6.2735
0.758,0.725,0.687,0.77111,0.52011,47.84,6.2709,0.70636,47.8,6.2762
0.559,0.711,0.765,0.66611,0.38738,47.82,6.2735,0.77256,47.78,6.2788
0.173,0.287,0.583,0.67389,0.094195,47.76,6.2814,0.8406,47.7,6.2893
0.004,0.096,0.318,0.75222,0.13526,47.12,6.3667,0.84507,47.06,6.3748
0.301,0.794,0.536,0.65278,0.20475,47.7,6.2893,0.82927,47.66,6.2946
0.186,0.566,0.485,0.73056,0.011832,47.76,6.2814,0.84294,47.68,6.2919
0.505,0.429,0.892,0.76944,0.93839,40,7.5,0.61633,47.78,6.2788
0.258,0.391,0.818,0.74667,0.52551,47.86,6.2683,0.70858,47.82,6.2735
0.886,0.195,0.432,0.64833,0.32123,47.66,6.2946,0.80582,47.6,6.3025
0.476,0.417,0.321,0.70389,0.22583,47.56,6.3078,0.82817,47.52,6.3131
0.566,0.142,0.116,0.67444,0.4744,47.54,6.3105,0.74498,47.5,6.3158
0.638,0.588,0.491,0.64667,0.29262,47.68,6.2919,0.81134,47.64,6.2972
0.756,0.88,0.339,0.68667,0.41179,47.66,6.2946,0.77298,47.62,6.2999
0.752,0.581,0.65,0.75222,0.40922,47.86,6.2683,0.75741,47.82,6.2735
0.052,0.797,0.878,0.72556,0.55967,47.84,6.2709,0.69177,47.8,6.2762
0.743,0.251,0.785,0.76833,0.5902,47.82,6.2735,0.6694,47.78,6.2788
0.132,0.002,0.637,0.64389,0.13549,47.76,6.2814,0.8373,47.7,6.2893
0.471,0.243,0.466,0.75722,0.0054729,47.8,6.2762,0.84066,47.72,6.2867
0.31,0.765,0.376,0.68,0.24055,47.62,6.2999,0.82387,47.56,6.3078
0.074,0.074,0.106,0.76667,0.11656,45.4,6.6079,0.79072,45.46,6.5992
0.28,0.62,0.576,0.71,0.14277,47.82,6.2735,0.83068,47.76,6.2814
0.031,0.052,0.233,0.62389,0.28976,47.3,6.3425,0.81525,47.26,6.3479
0.17,0.651,0.61,0.65722,0.17889,47.76,6.2814,0.83034,47.72,6.2867
0.191,0.473,0.826,0.675,0.40825,47.84,6.2709,0.76404,47.8,6.2762
0.777,0.141,0.695,0.69556,0.33511,47.84,6.2709,0.78778,47.78,6.2788
0.373,0.628,0.815,0.64556,0.38591,47.82,6.2735,0.77415,47.78,6.2788
0.66,0.496,0.797,0.72944,0.52652,47.84,6.2709,0.7083,47.8,6.2762
0.803,0.02,0.799,0.68222,0.43536,47.84,6.2709,0.75301,47.8,6.2762
0.323,0.426,0.551,0.66278,0.14505,47.72,6.2867,0.83778,47.66,6.2946
0.523,0.537,0.134,0.77611,0.32562,47.58,6.3052,0.79002,47.56,6.3078
0.552,0.866,0.413,0.63111,0.37733,47.66,6.2946,0.78753,47.62,6.2999
0.501,0.631,0.305,0.64167,0.42083,47.64,6.2972,0.76981,47.6,6.3025
0.047,0.779,0.49,0.70056,0.083714,47.7,6.2893,0.84297,47.64,6.2972
0.781,0.004,0.172,0.62333,0.54891,47.66,6.2946,0.71209,47.64,6.2972
0.325,0.298,0.66,0.69667,0.21185,47.84,6.2709,0.81813,47.8,6.2762
0.171,0.804,0.44,0.68722,0.14435,47.66,6.2946,0.8401,47.6,6.3025
0.447,0.191,0.69,0.61889,0.2411,47.78,6.2788,0.81955,47.72,6.2867
0.177,0.644,0.478,0.76389,0.018726,47.88,6.2657,0.83654,47.8,6.2762
0.868,0.238,0.438,0.75889,0.11814,47.76,6.2814,0.83494,47.68,6.2919
0.774,0.739,0.451,0.69444,0.29015,47.68,6.2919,0.8094,47.64,6.2972
0.458,0.675,0.886,0.68556,0.52509,47.82,6.2735,0.71183,47.78,6.2788
0.236,0.303,0.155,0.77167,0.099254,46.78,6.413,0.3793,40.46,7.4147
0.402,0.04,0.555,0.71222,0.082494,47.8,6.2762,0.83802,47.74,6.284
0.795,0.393,0.898,0.62444,0.46086,47.8,6.2762,0.7455,47.76,6.2814
0.525,0.835,0.841,0.77,0.93124,40,7.5,0.6322,47.78,6.2788
0.337,0.034,0.445,0.67667,0.088917,47.58,6.3052,0.84816,47.52,6.3131
0.049,0.204,0.81,0.66389,0.34834,47.86,6.2683,0.78532,47.8,6.2762
